method,audio_mean,audio_std,visual_mean,visual_std,gap_mean,gap_std
Baseline,58.66,1.60,46.13,3.72,12.53,2.49
OGM-GE,58.04,1.09,51.67,1.85,6.37,2.74
MMPareto,60.03,0.73,52.63,5.92,7.39,5.71
AGM,55.32,0.36,17.72,0.73,37.61,0.63
G-Blend,57.77,1.78,37.04,2.43,20.73,3.98
MILES,59.81,1.53,19.62,10.42,40.19,10.85
InfoReg,60.83,0.76,57.98,1.80,2.85,2.35
Boost only,57.34,2.18,44.60,3.96,12.74,4.85
Boost+OGM-GE,57.85,1.03,55.54,4.43,2.31,4.74
